Date,Price,Open,High,Low,Change %
30-Apr-14,4566.85,4566.85,4566.85,4566.85,0.00%
4-May-14,4504.77,4504.77,4504.77,4504.77,-1.36%
5-May-14,4506.44,4506.44,4506.44,4506.44,0.04%
6-May-14,4562.96,4562.96,4562.96,4562.96,1.25%
7-May-14,4575.5,4575.5,4575.5,4575.5,0.27%
8-May-14,4555.11,4555.11,4555.11,4555.11,-0.45%
11-May-14,4498.34,4498.34,4498.34,4498.34,-1.25%
12-May-14,4497.12,4497.12,4497.12,4497.12,-0.03%
14-May-14,4457.49,4457.49,4457.49,4457.49,-0.88%
15-May-14,4416.95,4416.95,4416.95,4416.95,-0.91%
18-May-14,4402.5,4402.5,4402.5,4402.5,-0.33%
19-May-14,4364.27,4364.27,4364.27,4364.27,-0.87%
20-May-14,4363.49,4363.49,4363.49,4363.49,-0.02%
21-May-14,4410.63,4410.63,4410.63,4410.63,1.08%
22-May-14,4384.06,4384.06,4384.06,4384.06,-0.60%
25-May-14,4378.25,4378.25,4378.25,4378.25,-0.13%
26-May-14,4378.34,4378.34,4378.34,4378.34,0.00%
27-May-14,4415.75,4415.75,4415.75,4415.75,0.85%
28-May-14,4430.98,4430.98,4430.98,4430.98,0.34%
29-May-14,4430.47,4430.47,4430.47,4430.47,-0.01%
1-Jun-14,4448.57,4448.57,4448.57,4448.57,0.41%
2-Jun-14,4447.45,4447.45,4447.45,4447.45,-0.03%
3-Jun-14,4418.79,4418.79,4418.79,4418.79,-0.64%
4-Jun-14,4401,4401,4401,4401,-0.40%
5-Jun-14,4396.54,4396.54,4396.54,4396.54,-0.10%
8-Jun-14,4346.33,4346.33,4346.33,4346.33,-1.14%
9-Jun-14,4415.96,4415.96,4415.96,4415.96,1.60%
10-Jun-14,4401.88,4401.88,4401.88,4401.88,-0.32%
11-Jun-14,4411.17,4411.17,4411.17,4411.17,0.21%
12-Jun-14,4408.8,4408.8,4408.8,4408.8,-0.05%
15-Jun-14,4361.58,4361.58,4361.58,4361.58,-1.07%
16-Jun-14,4358.75,4358.75,4358.75,4358.75,-0.06%
17-Jun-14,4338.87,4338.87,4338.87,4338.87,-0.46%
18-Jun-14,4340.46,4340.46,4340.46,4340.46,0.04%
19-Jun-14,4328.4,4328.4,4328.4,4328.4,-0.28%
22-Jun-14,4322.26,4322.26,4322.26,4322.26,-0.14%
23-Jun-14,4367.89,4367.89,4367.89,4367.89,1.06%
24-Jun-14,4392.94,4392.94,4392.94,4392.94,0.57%
25-Jun-14,4403.64,4403.64,4403.64,4403.64,0.24%
26-Jun-14,4409.42,4409.42,4409.42,4409.42,0.13%
29-Jun-14,4487.07,4487.07,4487.07,4487.07,1.76%
30-Jun-14,4480.52,4480.52,4480.52,4480.52,-0.15%
2-Jul-14,4466.61,4466.61,4466.61,4466.61,-0.31%
3-Jul-14,4436.2,4436.2,4436.2,4436.2,-0.68%
6-Jul-14,4411.15,4411.15,4411.15,4411.15,-0.56%
7-Jul-14,4376.77,4376.77,4376.77,4376.77,-0.78%
8-Jul-14,4376.52,4376.52,4376.52,4376.52,-0.01%
9-Jul-14,4371,4371,4371,4371,-0.13%
10-Jul-14,4363.08,4363.08,4363.08,4363.08,-0.18%
13-Jul-14,4344.36,4344.36,4344.36,4344.36,-0.43%
14-Jul-14,4376.89,4376.89,4376.89,4376.89,0.75%
15-Jul-14,4362.78,4362.78,4362.78,4362.78,-0.32%
16-Jul-14,4389.35,4389.35,4389.35,4389.35,0.61%
17-Jul-14,4392.15,4392.15,4392.15,4392.15,0.06%
20-Jul-14,4374.19,4374.19,4374.19,4374.19,-0.41%
21-Jul-14,4394.94,4394.94,4394.94,4394.94,0.47%
22-Jul-14,4424.6,4424.6,4424.6,4424.6,0.67%
23-Jul-14,4388.68,4388.68,4388.68,4388.68,-0.81%
24-Jul-14,4427.15,4427.15,4427.15,4427.15,0.88%
3-Aug-14,4420.61,4420.61,4420.61,4420.61,-0.15%
4-Aug-14,4467,4467,4467,4467,1.05%
5-Aug-14,4472.17,4472.17,4472.17,4472.17,0.12%
6-Aug-14,4484.9,4484.9,4484.9,4484.9,0.28%
7-Aug-14,4486.19,4486.19,4486.19,4486.19,0.03%
10-Aug-14,4530.83,4530.83,4530.83,4530.83,1.00%
11-Aug-14,4565.13,4565.13,4565.13,4565.13,0.76%
12-Aug-14,4526.49,4526.49,4526.49,4526.49,-0.85%
13-Aug-14,4527.21,4527.21,4527.21,4527.21,0.02%
14-Aug-14,4554.51,4554.51,4554.51,4554.51,0.60%
18-Aug-14,4554.14,4554.14,4554.14,4554.14,-0.01%
19-Aug-14,4576.36,4576.36,4576.36,4576.36,0.49%
20-Aug-14,4553.86,4553.86,4553.86,4553.86,-0.49%
21-Aug-14,4547.05,4547.05,4547.05,4547.05,-0.15%
24-Aug-14,4540.6,4540.6,4540.6,4540.6,-0.14%
25-Aug-14,4564.34,4564.34,4564.34,4564.34,0.52%
26-Aug-14,4590.65,4590.65,4590.65,4590.65,0.58%
