Date,Price,Open,High,Low,Vol.,Change %
11-Feb-21,5485.01,5509.4,5542.69,5458.17,-,-0.44%
10-Feb-21,5509.4,5498.54,5565.81,5498.54,-,0.20%
9-Feb-21,5498.54,5376.45,5504.84,5375.65,-,2.27%
8-Feb-21,5376.45,5504.78,5522.38,5353.35,-,-2.33%
7-Feb-21,5504.78,5647.67,5666.62,5497.65,-,-2.53%
4-Feb-21,5647.67,5581.86,5655.82,5581.86,-,1.18%
3-Feb-21,5581.86,5564.69,5605.9,5547.14,-,0.31%
2-Feb-21,5564.69,5599.8,5619.91,5555.9,-,-0.63%
1-Feb-21,5599.8,5649.86,5684.58,5599.02,-,-0.89%
31-Jan-21,5649.86,5724.35,5756.99,5648.14,-,-1.30%
28-Jan-21,5724.35,5714.74,5786.3,5713.89,-,0.17%
27-Jan-21,5714.74,5695.37,5748.87,5688.88,-,0.34%
26-Jan-21,5695.37,5789.92,5789.92,5685.7,-,-1.63%
25-Jan-21,5789.92,5815.54,5844.37,5762.93,-,-0.44%
24-Jan-21,5815.54,5836.18,5853.46,5809.38,-,-0.35%
21-Jan-21,5836.18,5827.56,5861.49,5825.2,-,0.15%
20-Jan-21,5827.56,5820.8,5861.88,5806.73,-,0.12%
19-Jan-21,5820.8,5801.72,5863.3,5789.5,-,0.33%
18-Jan-21,5801.72,5850.43,5874.47,5725.67,-,-0.83%
17-Jan-21,5850.43,5909.3,5971.79,5836.21,-,-1.00%
14-Jan-21,5909.3,5770,5939.59,5770,-,2.41%
13-Jan-21,5770,5861.02,5861.02,5758.88,-,-1.55%
12-Jan-21,5861.02,5718.75,5863.5,5718.75,-,2.49%
11-Jan-21,5718.75,5634.04,5729.7,5634.04,-,1.50%
10-Jan-21,5634.04,5621.76,5678.65,5616.35,-,0.22%
7-Jan-21,5621.76,5640.19,5716.37,5608.46,-,-0.33%
6-Jan-21,5640.19,5609.7,5654.23,5558.08,-,0.54%
5-Jan-21,5609.7,5652.32,5831.83,5596.24,-,-0.75%
4-Jan-21,5652.32,5618.95,5680.62,5574.2,-,0.59%
3-Jan-21,5618.95,5402.06,5622.22,5402.06,-,4.01%
